slug,period
fibra_macquarie,2023-3T
fibra_macquarie,2023-4T
fibra_macquarie,2024-1T
fibra_macquarie,2024-2T
fibra_macquarie,2024-3T
fibra_macquarie,2024-4T
fibra_macquarie,2025-1T
fibra_macquarie,2025-2T
fibra_macquarie,2025-3T
fibra_macquarie,2025-4T
fibra_macquarie,2026-1T
fibra_mty,2021-2T
fibra_mty,2021-3T
fibra_mty,2021-4T
fibra_mty,2022-1T
fibra_mty,2022-2T
fibra_mty,2022-3T
fibra_mty,2022-4T
fibra_mty,2023-1T
fibra_mty,2023-2T
fibra_mty,2023-3T
fibra_mty,2023-4T
fibra_mty,2024-1T
fibra_mty,2024-2T
fibra_mty,2024-3T
fibra_mty,2024-4T
fibra_mty,2025-1T
fibra_mty,2025-2T
fibra_mty,2025-3T
fibra_mty,2025-4T
fibra_mty,2026-1T
fibra_next,2025-3T
fibra_next,2025-4T
fibra_next,2026-1T
fibra_nova,2019-1T
fibra_nova,2019-2T
fibra_nova,2019-3T
fibra_nova,2019-4T
fibra_nova,2020-1T
fibra_nova,2020-2T
fibra_nova,2020-3T
fibra_nova,2020-4T
fibra_nova,2021-1T
fibra_nova,2021-2T
fibra_nova,2021-3T
fibra_nova,2021-4T
fibra_nova,2022-1T
fibra_nova,2022-2T
fibra_nova,2022-3T
fibra_nova,2022-4T
fibra_nova,2023-1T
fibra_nova,2023-2T
fibra_nova,2023-3T
fibra_nova,2023-4T
fibra_nova,2024-1T
fibra_plus,2021-2T
fibra_plus,2021-3T
fibra_plus,2021-4T
fibra_plus,2022-1T
fibra_plus,2022-2T
fibra_plus,2022-3T
fibra_plus,2022-4T
fibra_plus,2023-1T
fibra_plus,2023-2T
fibra_plus,2023-3T
fibra_plus,2023-4T
fibra_plus,2024-1T
fibra_plus,2024-2T
fibra_plus,2024-3T
fibra_plus,2024-4T
fibra_plus,2025-1T
fibra_plus,2025-2T
fibra_plus,2025-3T
fibra_plus,2025-4T
fibra_plus,2026-1T
fibra_prologis,2021-2T
fibra_prologis,2021-3T
fibra_prologis,2021-4T
fibra_prologis,2022-1T
fibra_prologis,2022-2T
fibra_prologis,2022-3T
fibra_prologis,2022-4T
fibra_prologis,2023-1T
fibra_prologis,2023-2T
fibra_prologis,2023-3T
fibra_prologis,2023-4T
fibra_prologis,2024-1T
fibra_prologis,2024-2T
fibra_prologis,2024-3T
fibra_prologis,2024-4T
fibra_prologis,2025-1T
fibra_prologis,2025-2T
fibra_prologis,2025-3T
fibra_prologis,2025-4T
fibra_prologis,2026-1T
fibra_shop,2021-1T
fibra_shop,2021-2T
fibra_shop,2021-3T
fibra_shop,2021-4T
fibra_shop,2022-1T
fibra_shop,2022-2T
fibra_shop,2022-3T
fibra_shop,2022-4T
fibra_shop,2023-1T
fibra_shop,2023-2T
fibra_shop,2023-3T
fibra_shop,2023-4T
fibra_shop,2024-1T
fibra_shop,2024-2T
fibra_shop,2024-3T
fibra_shop,2024-4T
fibra_shop,2025-1T
fibra_shop,2025-2T
fibra_shop,2025-3T
fibra_shop,2025-4T
fibra_shop,2026-1T
fibra_sites,2020-3T
fibra_sites,2020-4T
fibra_sites,2021-1T
fibra_sites,2021-2T
fibra_sites,2021-3T
fibra_sites,2021-4T
fibra_sites,2022-1T
fibra_sites,2022-2T
fibra_sites,2022-3T
fibra_sites,2022-4T
fibra_sites,2023-1T
fibra_sites,2023-2T
fibra_sites,2023-3T
fibra_sites,2023-4T
fibra_sites,2024-1T
fibra_sites,2024-2T
fibra_sites,2024-3T
fibra_sites,2024-4T
fibra_sites,2025-1T
fibra_sites,2025-2T
fibra_sites,2025-3T
fibra_sites,2025-4T
fibra_sites,2026-1T
fibra_storage,2021-2T
fibra_storage,2021-3T
fibra_storage,2021-4T
fibra_storage,2022-1T
fibra_storage,2022-2T
fibra_storage,2022-3T
fibra_storage,2022-4T
fibra_storage,2023-1T
fibra_storage,2023-2T
fibra_storage,2023-3T
fibra_storage,2023-4T
fibra_storage,2024-1T
fibra_storage,2024-2T
fibra_storage,2024-3T
fibra_storage,2024-4T
fibra_storage,2025-1T
fibra_storage,2025-2T
fibra_storage,2025-3T
fibra_storage,2025-4T
fibra_storage,2026-1T
fibra_uno,2021-2T
fibra_uno,2021-3T
fibra_uno,2021-4T
fibra_uno,2022-1T
fibra_uno,2022-2T
fibra_uno,2022-3T
fibra_uno,2022-4T
fibra_uno,2023-1T
fibra_uno,2023-2T
fibra_uno,2023-3T
fibra_uno,2023-4T
fibra_uno,2024-1T
fibra_uno,2024-2T
fibra_uno,2024-3T
fibra_uno,2024-4T
fibra_uno,2025-1T
fibra_uno,2025-2T
fibra_uno,2025-3T
fibra_uno,2025-4T
fibra_uno,2026-1T
fibra_uptown,2018-2T
fibra_uptown,2018-3T
fibra_uptown,2018-4T
fibra_uptown,2019-1T
fibra_uptown,2019-2T
fibra_uptown,2019-3T
fibra_uptown,2019-4T
fibra_uptown,2020-1T
fibra_uptown,2020-2T
fibra_uptown,2020-3T
fibra_uptown,2020-4T
fibra_uptown,2021-1T
fibra_uptown,2021-2T
fibra_uptown,2021-3T
fibra_uptown,2021-4T
fibra_uptown,2022-1T
fibra_uptown,2022-2T
fibra_uptown,2022-3T
fibra_uptown,2022-4T
fibra_uptown,2023-1T
fibra_uptown,2023-2T
fibra_uptown,2023-3T
fibra_uptown,2023-4T
fibra_uptown,2024-1T
fibra_uptown,2024-2T
fibra_uptown,2024-3T
fibra_uptown,2024-4T
fibra_uptown,2025-1T
fibra_uptown,2025-2T
fibra_uptown,2025-3T
fibra_uptown,2025-4T
fibra_uptown,2026-1T
fibra_via,2021-2T
fibra_via,2021-3T
fibra_via,2021-4T
fibra_via,2022-1T
fibra_via,2022-2T
fibra_via,2022-3T
fibra_via,2022-4T
fibra_via,2023-1T
fibra_via,2023-2T
fibra_via,2023-3T
fibra_via,2023-4T
fibra_via,2024-1T
fibra_via,2024-2T
fibra_via,2024-3T
fibra_via,2024-4T
fibra_via,2025-1T
fibra_via,2025-2T
fibra_via,2025-3T
fibra_via,2025-4T
fibra_via,2026-1T
fortaleza_materiales,2022-2T
fortaleza_materiales,2022-3T
fortaleza_materiales,2022-4T
fortaleza_materiales,2023-1T
fortaleza_materiales,2023-2T
fortaleza_materiales,2023-3T
fortaleza_materiales,2023-4T
fortaleza_materiales,2024-1T
fortaleza_materiales,2024-2T
fortaleza_materiales,2024-3T
fortaleza_materiales,2024-4T
fortaleza_materiales,2025-1T
fortaleza_materiales,2025-2T
fortaleza_materiales,2025-3T
fortaleza_materiales,2025-4T
fortaleza_materiales,2026-1T
gap,2021-2T
gap,2021-3T
gap,2021-4T
gap,2022-1T
gap,2022-2T
gap,2022-3T
gap,2022-4T
gap,2023-1T
gap,2023-2T
gap,2023-3T
gap,2023-4T
gap,2024-1T
gap,2024-2T
gap,2024-3T
gap,2024-4T
gap,2025-1T
gap,2025-2T
gap,2025-3T
gap,2025-4T
gap,2026-1T
gcc,2021-2T
gcc,2021-3T
gcc,2021-4T
gcc,2022-1T
gcc,2022-2T
gcc,2022-3T
gcc,2022-4T
gcc,2023-1T
gcc,2023-2T
gcc,2023-3T
gcc,2023-4T
gcc,2024-1T
gcc,2024-2T
gcc,2024-3T
gcc,2024-4T
gcc,2025-1T
gcc,2025-2T
gcc,2025-3T
gcc,2025-4T
gcc,2026-1T
gicsa,2021-2T
gicsa,2021-3T
gicsa,2021-4T
gicsa,2022-1T
gicsa,2022-2T
gicsa,2022-3T
gicsa,2022-4T
gicsa,2023-1T
gicsa,2023-2T
gicsa,2023-3T
gicsa,2023-4T
gicsa,2024-1T
gicsa,2024-2T
gicsa,2024-3T
gicsa,2024-4T
gicsa,2025-1T
gicsa,2025-2T
gicsa,2025-3T
gicsa,2025-4T
gicsa,2026-1T
gmd,2021-2T
gmd,2021-3T
gmd,2021-4T
gmd,2022-1T
gmd,2022-2T
gmd,2022-3T
gmd,2022-4T
gmd,2023-1T
gmd,2023-2T
gmd,2023-3T
gmd,2023-4T
gmd,2024-1T
gmd,2024-2T
gmd,2024-3T
gmd,2024-4T
gmd,2025-1T
gmd,2025-2T
gmd,2025-3T
gmd,2025-4T
gmd,2026-1T
gmexico_transportes,2022-2T
gmexico_transportes,2022-3T
gmexico_transportes,2022-4T
gmexico_transportes,2023-1T
gmexico_transportes,2023-2T
gmexico_transportes,2023-3T
gmexico_transportes,2023-4T
gmexico_transportes,2024-1T
gmexico_transportes,2024-2T
gmexico_transportes,2024-3T
gmexico_transportes,2024-4T
gmexico_transportes,2025-1T
gmexico_transportes,2025-2T
gmexico_transportes,2025-3T
gmexico_transportes,2025-4T
gmexico_transportes,2026-1T
gruma,2021-2T
gruma,2021-3T
gruma,2021-4T
gruma,2022-1T
gruma,2022-2T
gruma,2022-3T
gruma,2022-4T
gruma,2023-1T
gruma,2023-2T
gruma,2023-3T
gruma,2023-4T
gruma,2024-1T
gruma,2024-2T
gruma,2024-3T
gruma,2024-4T
gruma,2025-1T
gruma,2025-2T
gruma,2025-3T
gruma,2025-4T
gruma,2026-1T
grupo_aristos,2021-2T
grupo_aristos,2021-3T
grupo_aristos,2021-4T
grupo_aristos,2022-1T
grupo_aristos,2022-2T
grupo_aristos,2022-3T
grupo_aristos,2022-4T
grupo_aristos,2023-1T
grupo_aristos,2023-2T
grupo_aristos,2023-3T
grupo_aristos,2023-4T
grupo_aristos,2024-1T
grupo_aristos,2024-2T
grupo_aristos,2024-3T
grupo_aristos,2024-4T
grupo_aristos,2025-1T
grupo_aristos,2025-2T
grupo_aristos,2025-3T
grupo_aristos,2025-4T
grupo_aristos,2026-1T
grupo_cable,2021-2T
grupo_cable,2021-3T
grupo_cable,2021-4T
grupo_cable,2022-1T
grupo_cable,2022-2T
grupo_cable,2022-3T
grupo_cable,2022-4T
grupo_cable,2023-1T
grupo_cable,2023-2T
grupo_cable,2023-3T
grupo_cable,2023-4T
grupo_cable,2024-1T
grupo_cable,2024-2T
grupo_cable,2024-3T
grupo_cable,2024-4T
